Title,Price,Link,Description,Main image
Hand Made Ribbed Candle in Taupe,11,https://katieleamon.com/p/hand-made-ribbed-candle-in-taupe/,"Our hand made sculptural ribbed candles make a beautiful decorative addition to your home or an ideal gift.Derived from natural resources, our candles are eco friendly, vegan friendly and biodegradable. Natural waxes do not release toxins when lit.Wax spillage is expected, make sure you place them on a heat resistant, deep tray or dish. Please allow slight colour difference due to different monitors and lighting environments. Due to being handmade, each candle will be unique, small air bubbles may be present.Each candle is 25cm tall, diameter 2.5cm diameter at base and 100g. Burning time – just under 2h.Price is for 1 candle.",https://katieleamon.com/wp-content/uploads/2023/11/Tezza-9241-e1700482667837-600x600.jpg
Hand Made Ribbed Candle in Flamingo,11,https://katieleamon.com/p/hand-made-ribbed-candle-in-flamingo/,"Our hand made sculptural ribbed candles make a beautiful decorative addition to your home or an ideal gift.Derived from natural resources, our candles are eco friendly, vegan friendly and biodegradable. Natural waxes do not release toxins when lit.Wax spillage is expected, make sure you place them on a heat resistant, deep tray or dish. Please allow slight colour difference due to different monitors and lighting environments. Due to being handmade, each candle will be unique, small air bubbles may be present.Each candle is 25cm tall, diameter 2.5cm diameter at base and 100g. Burning time – just under 2h.Price is for 1 candle.",https://katieleamon.com/wp-content/uploads/2023/11/P1034438-600x600.jpeg
Hand Made Ribbed Candle in Ginger,11,https://katieleamon.com/p/hand-made-ribbed-candle-in-ginger/,"Our hand made sculptural ribbed candles make a beautiful decorative addition to your home or an ideal gift.Derived from natural resources, our candles are eco friendly, vegan friendly and biodegradable. Natural waxes do not release toxins when lit.Wax spillage is expected, make sure you place them on a heat resistant, deep tray or dish. Please allow slight colour difference due to different monitors and lighting environments. Due to being handmade, each candle will be unique, small air bubbles may be present.Each candle is 25cm tall, diameter 2.5cm diameter at base and 100g. Burning time – just under 2h.Price is for 1 candle.",https://katieleamon.com/wp-content/uploads/2023/11/P1034423-600x600.jpeg
Hand Made Ribbed Candle in Forest,11,https://katieleamon.com/p/hand-made-ribbed-candle-in-forest/,"Our hand made sculptural ribbed candles make a beautiful decorative addition to your home or an ideal gift.Derived from natural resources, our candles are eco friendly, vegan friendly and biodegradable. Natural waxes do not release toxins when lit.Wax spillage is expected, make sure you place them on a heat resistant, deep tray or dish. Please allow slight colour difference due to different monitors and lighting environments. Due to being handmade, each candle will be unique, small air bubbles may be present.Each candle is 25cm tall, diameter 2.5cm diameter at base and 100g. Burning time – just under 2h.Price is for 1 candle.",https://katieleamon.com/wp-content/uploads/2023/11/Tezza-1399-600x600.jpg
Hand Made Ribbed Candle in Rouge,11,https://katieleamon.com/p/hand-made-ribbed-candle-in-rouge/,"Our hand made sculptural ribbed candles make a beautiful decorative addition to your home or an ideal gift.Derived from natural resources, our candles are eco friendly, vegan friendly and biodegradable. Natural waxes do not release toxins when lit.Wax spillage is expected, make sure you place them on a heat resistant, deep tray or dish. Please allow slight colour difference due to different monitors and lighting environments. Due to being handmade, each candle will be unique, small air bubbles may be present.Each candle is 25cm tall, diameter 2.5cm diameter at base and 100g. Burning time – just under 2h.Price is for 1 candle.",https://katieleamon.com/wp-content/uploads/2023/11/Tezza-4802-600x600.jpg
Hand Made Ribbed Candle in Charcoal,11,https://katieleamon.com/p/hand-made-ribbed-candle-in-charcoal/,"Our hand made sculptural ribbed candles make a beautiful decorative addition to your home or an ideal gift.Derived from natural resources, our candles are eco friendly, vegan friendly and biodegradable. Natural waxes do not release toxins when lit.Wax spillage is expected, make sure you place them on a heat resistant, deep tray or dish. Please allow slight colour difference due to different monitors and lighting environments. Due to being handmade, each candle will be unique, small air bubbles may be present.Each candle is 25cm tall, diameter 2.5cm diameter at base and 100g. Burning time – just under 2h.Price is for 1 candle.",https://katieleamon.com/wp-content/uploads/2023/11/P1034428-600x600.jpeg
Hand Made Ribbed Candle in Linen,11,https://katieleamon.com/p/hand-made-ribbed-candle-in-linen/,"Our hand made sculptural ribbed candles make a beautiful decorative addition to your home or an ideal gift.Derived from natural resources, our candles are eco friendly, vegan friendly and biodegradable. Natural waxes do not release toxins when lit.Wax spillage is expected, make sure you place them on a heat resistant, deep tray or dish. Please allow slight colour difference due to different monitors and lighting environments. Due to being handmade, each candle will be unique, small air bubbles may be present.Each candle is 25cm tall, diameter 2.5cm diameter at base and 100g. Burning time – just under 2h.Price is for 1 candle.",https://katieleamon.com/wp-content/uploads/2023/11/P1034430-600x600.jpeg
Hand Made Ribbed Candle in Off White,11,https://katieleamon.com/p/hand-made-ribbed-candle-in-off-white/,"Our hand made sculptural ribbed candles make a beautiful decorative addition to your home or an ideal gift.Each candle is 25cm tall2.5cm diameter at base and 100g.Burning time – just under 2h.Derived from natural resources, our candles are eco friendly, vegan friendly and biodegradable.Natural waxes do not release toxins when lit.Wax spillage is expected, make sure you place them on a heat resistant, deep tray or dish. Please allow slight colour difference due to different monitors and lighting environments.Due to being handmade, each candle will be unique, small air bubbles may be present.Price is for 1 candle.",https://katieleamon.com/wp-content/uploads/2023/11/P1034430-600x600.jpeg
Hand Dip Dye Candle in ‘Lollipop’,6.95,https://katieleamon.com/p/hand-dip-dye-candle-in-lollipop/,"Peach & Purple Dip Dye Long Stem Candle Brought to Katie Leamon by Vivi Candles.Individually dip dyed to ensure each candle is unique, please note that as a result the colour intensity & gradient can vary with each candle.Size: height 29 cm | Width: 2.2 cmBurn time: approx. 12 hoursPlease note, candles are sold individually.",https://katieleamon.com/wp-content/uploads/2021/10/Lollipop-Dip-Dye-Candle-1024x1024.webp
Hand Dip Dye Candle in ‘Ice in the Sunshine’,6.5,https://katieleamon.com/p/hand-dip-dye-candle-in-ice-in-the-sunshine/,"Pink & Yellow Dip Dye Long Stem Candle Brought to Katie Leamon by Vivi Candles.Individually dip dyed to ensure each candle is unique, please note that as a result the colour intensity & gradient can vary with each candle.Size: height 29 cm | Width: 2.2 cmBurn time: approx. 12 hoursPlease note, candles are sold individually.",https://katieleamon.com/wp-content/uploads/2021/10/Ice-in-the-Sunshine-Dip-Dye-Candle-1024x1024.webp
