Title,Price,Link,Description,Main image
YONOBI classes DAY WHEEL THROWING CLASS - CPH,2.8,https://yonobi.com//collections/all-products/products/day-wheel-throwing-class-1,"Location YŌNOBI STUDIO, Nybrogade 28Time 10.00 to 13.30Length 3h 30min per classFrequency 6 times, once a weekIncluded all materials (unlimited clay, decoration, and glaze) and firing, tea & coffee Language Danish, EnglishLevel Beginner/ all levelsJoin us for an engaging pottery class where you'll immerse yourself in creativity and craftsmanship. No experience? No worries! Our class is open to all skill levels, from beginners to more seasoned throwers. With personalized guidance, you'll feel confident to unleash your creativity.The class will run over six sessions, so you will have plenty of time to explore the different techniques and mastering the art of shaping clay into beautiful, functional pieces.Day one, Centering and throwing a basic cylinderDay two, Throwing basic cylinder and trimmingDay three, Throwing simple shapes and trimmingDay four, Throwing (your own designs) and trimmingDay five, Trimming and decorating with slips etc.Day six, The final class, the finished products will be glazed and fired.Throughout this class, you will gain thorough knowledge and insight into wheel throwing and its many applications. You will learn about the various stages of the transformation from soft clay to finished product and the opportunities for shaping the material within these stages. Your pieces will typically be ready for pick-up 2-3 weeks after the end of class. Join Our Community: Step into our friendly studio and start your journey of self-expression. Enroll now and let the magic of pottery inspire you! Check out available dates in the dropdown menu, and see class details below.Wednesday: 29th of May - 10th of July (skips 5th of May)DateTimeTeacherWednesday,  10.00 - 13.30Signe SchmidtWednesday, 10.00 - 13.30Signe SchmidtWednesday,  10.00 - 13.30Signe SchmidtWednesday,  10.00 - 13.30Signe SchmidtWednesday, 10.00 - 13.30Signe SchmidtWednesday,  10.00 - 13.30Signe Schmidt Thursday: 01 Aug - 05 SepDateTimeTeacherThursday,  10.00 - 13.30Christian RaskThursday, 10.00 - 13.30Christian RaskThursday,   10.00 - 13.30Christian RaskThursday,  10.00 - 13.30Christian RaskThursday,   10.00 - 13.30Christian RaskThursday,10.00 - 13.30Christian Rask Monday: 05 Aug - 09 SepDateTimeTeacherMonday,  10.00 - 13.30Emilie BobekMonday, 10.00 - 13.30Emilie BobekMonday,   10.00 - 13.30Emilie BobekMonday,  10.00 - 13.30Emilie BobekMonday,   10.00 - 13.30Emilie BobekMonday,10.00 - 13.30Emilie Bobek Tuesday: 13 Aug — 17 SepDateTimeTeacherTuesday,  10.00 - 13.30Mia Maya ChristophersenTuesday, 10.00 - 13.30Mia Maya ChristophersenTuesday,   10.00 - 13.30Mia Maya ChristophersenTuesday,  10.00 - 13.30Mia Maya ChristophersenTuesday,   10.00 - 13.30Mia Maya ChristophersenTuesday,10.00 - 13.30Mia Maya Christophersen Wednesday: 04 Sep - 09 OctDateTimeTeacherWednesday,  10.00 - 13.30Signe SchmidtWednesday, 10.00 - 13.30Signe SchmidtWednesday,  10.00 - 13.30Signe SchmidtWednesday,  10.00 - 13.30Signe SchmidtWednesday, 10.00 - 13.30Signe SchmidtWednesday,  10.00 - 13.30Signe Schmidt Tuesday: 24 Sep - 05 Nov (skips 15th of Oct.)DateTimeTeacherTuesday,  10.00 - 13.30Mia Maya ChristophersenTuesday, 10.00 - 13.30Mia Maya ChristophersenTuesday,   10.00 - 13.30Mia Maya ChristophersenTuesday,  10.00 - 13.30Mia Maya ChristophersenTuesday,   10.00 - 13.30Mia Maya ChristophersenTuesday,10.00 - 13.30Mia Maya Christophersen  Share",//yonobi.com/cdn/shop/files/692d65a4-6338-4d82-9611-22c182a3463d-35ebacf1-0634-47e8-ac3f-e85e248ecbde-IMG_8127_fc0cf908-a7f5-49b2-975b-6f63ba5b0ef8.jpg?v=1717598343
Joe Christopherson Square-based espresso cup,200,https://yonobi.com//collections/all-products/products/square-based-espresso-cup,"Unique Square-based espresso cup.Immerse yourself in the understated elegance of Joe Christopherson's handmade tableware. The minimalistic design showcases the artist's dedication to simplicity and craftsmanship. Every item of this collection, carefully formed by hand, is a true testament to the beauty of imperfection,This item is dishwasher safe, but we recommend to wash it by hand, due to its fragility.This item is certified as safe to use with food. Measurementapprox ø 6 x 7 cmShare",//yonobi.com/cdn/shop/files/JoeChristophersonYonobi-1.jpg?v=1702447110
Joe Christopherson Hand-built pitcher,1.2,https://yonobi.com//collections/all-products/products/hand-built-pitcher-1,"Unique Hand-built pitcher.Immerse yourself in the understated elegance of Joe Christopherson's handmade tableware. The minimalistic design showcases the artist's dedication to simplicity and craftsmanship. Every item of this collection, carefully formed by hand, is a true testament to the beauty of imperfection,This item is dishwasher safe, but we recommend to wash it by hand, due to its fragility.This item is certified as safe to use with food.  Measurementsø 16 x h 21Share",//yonobi.com/cdn/shop/files/IMG_3693_9573387d-c0dd-4426-bc9a-aef2c9c3bf27.jpg?v=1702446965
Tybo Mona Bowl - no. 1,225,https://yonobi.com//collections/all-products/products/small-bowl-8,"Beautiful small stoneware bowl handmade by Danish artists TYBO.TYBO is a family business based in Copenhagen. Founded in 2015 by Stinne Bo Tyrrestrup and her husband Nis Tyrrestrup in collaboration with Stinne’s father Hans Bo, who masters the production of hand-thrown stoneware in his workshop on Djursland. Stinne and Nis believe in permanency and the simple life surrounded by few, but well-crafted things made of natural materials. TYBO creates ART & CRAFT with a defined DNA of unpolished simplicity. Based on the Danish design tradition TYBO is aiming for an honest and long-lasting appearance in their design. With a devotion to details and simple aesthetics, TYBO creates functional handcrafted objects to enjoy for everyday use.This product is certified as safe for use with food.Measurements: ø 11 x h 5,5 cm. Measurements and pictures are only guiding because each piece will differ in color, shape, and size around 1-2 cm.Share",//yonobi.com/cdn/shop/products/image_48d33dc1-944a-4d4a-9941-ef010353a304.jpg?v=1616764648
Tybo Unique stoneware vase – Small,625,https://yonobi.com//collections/all-products/products/copy-of-unique-vase-2,"Unique stoneware vase by TYBO. The vase is hand thrown and glazed in their workshop in Jutland. Each piece is unique made with love for simplicity in shape and the soft tones in Nordic nature. The vase can be used for flowers or just be added as a sculptural element to your home interior. The glazes are made from own recipe inspired by the seaside and the surface has soft and tactile feeling to it.Measurementsø 10,5 x h 14 cm  Share",//yonobi.com/cdn/shop/files/IMG_3754.jpg?v=1702640803
Tybo Unique stoneware vase – Medium,930,https://yonobi.com//collections/all-products/products/unique-stoneware-vase-medium,"Unique stoneware vase by TYBO. The vase is hand thrown and glazed in their workshop in Jutland. Each piece is unique made with love for simplicity in shape and the soft tones in Nordic nature. The vase can be used for flowers or just be added as a sculptural element to your home interior. The glazes are made from own recipe inspired by the seaside and the surface has soft and tactile feeling to it.Measurementsø 19 x h 10,5 cm  Share",//yonobi.com/cdn/shop/files/IMG_3752_faf5ebb3-d9df-44cb-9f14-604542ed9cf6.jpg?v=1702640882
Tybo Unique Stoneware vase – Large,1.15,https://yonobi.com//collections/all-products/products/unique-stoneware-vase-large,Unique stoneware vase by TYBO. The vase is hand thrown and glazed in their workshop in Jutland. Each piece is unique made with love for simplicity in shape and the soft tones in Nordic nature. The vase can be used for flowers or just be added as a sculptural element to your home interior. The glazes are made from own recipe inspired by the seaside and the surface has soft and tactile feeling to it.Measurementsø 15 x h 23 cm  Share,//yonobi.com/cdn/shop/files/IMG_3759.jpg?v=1702640943
Tybo Unique Stoneware vase – Large,1.15,https://yonobi.com//collections/all-products/products/copy-of-unique-stoneware-vase-large,Unique stoneware vase by TYBO. The vase is hand thrown and glazed in their workshop in Jutland. Each piece is unique made with love for simplicity in shape and the soft tones in Nordic nature. The vase can be used for flowers or just be added as a sculptural element to your home interior. The glazes are made from own recipe inspired by the seaside and the surface has soft and tactile feeling to it.Measurementsø 17 x h 20 cm  Share,//yonobi.com/cdn/shop/files/IMG_3761.jpg?v=1702640819
Af Jord 'Ro' candleholder,399,https://yonobi.com//collections/all-products/products/ro-candleholder,"A beautiful candle holder handmade by Louise Reimer - the artist behind 'Af Jord.''Ro' is a Danish word that can't be directly translated. The essence of 'Ro' is still, calm, ease, rest, and peace. Louise aims to make pieces that ground you and make you feel calm and at peace.The mug is handcrafted by Louise Reimer, the artist behind 'Af Jord.' You can read more about Louise Reimer here.Measurements:Share",//yonobi.com/cdn/shop/files/IMG_3929.jpg?v=1687287099
Nathalie Reocreux Vasque Bowl,3.73,https://yonobi.com//collections/all-products/products/vasque-bowl-1,Unique hand-pinched bowl by French artist Nathalie Reocreux. Nathalie Reocreux uses wild-clay that the ceramist harvests around her home or when traveling. A production that takes time and lets it be guided by randomness.Handmade modeled bowl. Made with collected clay. Red stoneware glazed with ash lavender. Fired in gaskiln at 1280°CMeasurements (approx.): ø 30 x h 17 cmShare,//yonobi.com/cdn/shop/files/IMG_3816.jpg?v=1708593825
