Title,Price,Link,Description,Main image,Category
YONOBI Gift Card,100.0,https://yonobi.com//collections/all-products/products/gift-card,Buy a gift card for someone you love!Are you short on time or do you simply want the receiver to choose for their own?Have a gift card emailed and print it yourself - or have it sent by post/or picked up in the store. Please write a comment on you order if you want it gift wrapped and sent to you. THE GIFT CARD CAN BE USED IN BOTH THE ONLINE SHOP AND IN OUR PHYSICAL SHOP IN COPENHAGEN. THE GIFT CARD BE USED FOR CERAMIC COURSES AS WELL.Note. Our newsletter 10% discount can't be used for purchasing gift cards. Share,//yonobi.com/cdn/shop/products/image_9f1f0f64-76ba-4ed7-99d5-682754605fdf.jpg?v=1638033079,pottery and ceramic
Laura Pasquino Medium Soft Moon - Black,5.9,https://yonobi.com//collections/all-products/products/medium-soft-moon-black,"Beautiful 'Moon' vase handmade by Laura Pasquino.Laura's style is defined by a natural aesthetic. Minimalistic and harmonious shapes that celebrate the imperfections and beauty in understated. She expresses herself through the textures and organic nuances of clay, striving towards a balance between traditional techniques and simple elegance. The works are often left unglazed, to show the humble beauty of the material.When working, her aim is to give character to the piece, rather than trying to make it perfect. She leaves her fingerprints and tool marks as they happen during the creation process. It gives soul to the object and is a trace of Laura's process from that particular moment.The pieces we are so lucky to present at YONOBI are a range of ceramic sculptures that capture the powerful stillness and quiet aesthetic of the moon. These minimalistic shapes, made from stoneware ceramic, celebrate the imperfections, simplicity, and beauty in understated. Being captivated by pure forms that resemble infinity has led the artist to create a series of unique moon jars and circular sculptures. The works reflect influences from traditional Korean ceramics and Japanese principles of wabi-sabi.Dimensions: Ø 23 x H 22 cm, opening Ø 1 cmMaterial: stoneware ceramicFinishing: glazed matte interior, unglazed natural exteriorColour: blackSignature: artist stamp on the baseShare",//yonobi.com/cdn/shop/products/image_722cc730-a371-42b8-8c6f-a7464dfdf2fc.jpg?v=1634841964,pottery and ceramic
Enrico Donadello Amphora,3.2,https://yonobi.com//collections/all-products/products/amphora-280-suggested-retail-price-532,"Beautiful unique vase by Italian artist Enrico Donadello.All pieces are hand-built using coiling and slabbing techniques. The process itself is a slow analysis of the form, he starts with an image in his mind that evolves and changes as the object grows. Once the pieces have been bisque fired Enrico finishes them with glazes or engobes.Enrico is obsessed with colors and he keeps testing different combinations. With engobes especially, he always overlays many different shades on the same piece to make the surface more vibrant and unique. Although he has an idea of what the final result will look like, it's always a bit of a surprise what he actually gets when he opens the kiln. All objects are made in stoneware and fired at a high temperature.H: 26cm W: 20cmShare",//yonobi.com/cdn/shop/products/image_860e0459-c6b6-43bc-9e78-40f17012fbe7.jpg?v=1655211638,pottery and ceramic
MUSETTE CÉRAMIQUE No 111,6.125,https://yonobi.com//collections/all-products/products/no-111,"Unique sculptural vase handmade by Musette Céramique.For this body of work Julie Deault, who is the artist behind Musette Céramique, has been using white stoneware and adding a coarse grog to the clay before starting to build, which adds a lot of texture once the piece is finished. She leaves the outside of her work unglazed. She doesn't like using glazes to cover up the clay. ""There’s something so beautiful about this material in its raw state, and it also puts emphasis on the subtle curves and shape of the piece.""All pieces are handbuilt. Each piece is completely one of a kind, with irregularities that make it beautiful and unique. Work is numbered on the bottom to highlight its uniqueness – each vessel is the only one of its kind.Measurements:h 32 x w 30 cmDetails:white stoneware clay body with grogunglazed exterior, clear matte glaze insideone of a kind | numbered and stampedShare",//yonobi.com/cdn/shop/products/image_f140e022-deb8-4f2e-9416-f3a5f12dc378.jpg?v=1650384676,pottery and ceramic
Karina Smagulova Woman no. 178,6.4,https://yonobi.com//collections/all-products/products/woman-no-156-new,"Amazing sculptural vase by Karina Smagulova. Karina Smagulova is a ceramic artist whose work explores the material’s ability to stretch and deform.The vase is part of her unique 'Women' collection, where each vase is numbered and unique in its women-like shapes.Karina has a background in architecture, her studies in ceramics started in 2016 and continue today as an exploration into functional and sculptural ceramic vessels. Working in stoneware and porcelain, mainly employing the coiling method, Karina balances asymmetrical curved forms in the three-dimensional world.  Measurementsø 15cm  H 32cmVulcan coarse stonewareShare",//yonobi.com/cdn/shop/products/image_c44e2059-4278-4cd1-83f1-ef9f9c2124e0.jpg?v=1640191093,pottery and ceramic
Karina Smagulova Woman no. 191,3.44,https://yonobi.com//collections/all-products/products/woman-no-187-new,"Amazing sculptural vase by Karina Smagulova. Karina Smagulova is a ceramic artist whose work explores the material’s ability to stretch and deform.The vase is part of her unique 'Women' collection, where each vase is numbered and unique in its women-like shapes.Karina has a background in architecture, her studies in ceramics started in 2016 and continue today as an exploration into functional and sculptural ceramic vessels. Working in stoneware and porcelain, mainly employing the coiling method, Karina balances asymmetrical curved forms in the three-dimensional world. Measurementsø13.5  H 23Vulcan coarse stonewareShare",//yonobi.com/cdn/shop/products/image_5bf5acac-aeb3-49fc-8b7f-ce859d9207c3.jpg?v=1640191134,pottery and ceramic
Karina Smagulova Woman no. 180,2.64,https://yonobi.com//collections/all-products/products/woman-no-183-new,"Amazing sculptural vase by Karina Smagulova. Karina Smagulova is a ceramic artist whose work explores the material’s ability to stretch and deform.The vase is part of her unique 'Women' collection, where each vase is numbered and unique in its women-like shapes.Karina has a background in architecture, her studies in ceramics started in 2016 and continue today as an exploration into functional and sculptural ceramic vessels. Working in stoneware and porcelain, mainly employing the coiling method, Karina balances asymmetrical curved forms in the three-dimensional world. Measurementsø5cm  H 15cm White grogged stonewareShare",//yonobi.com/cdn/shop/products/image_4088827a-3151-4757-bda4-a0e76af775e3.jpg?v=1640191099,pottery and ceramic
Karina Smagulova Woman no. 188,1.44,https://yonobi.com//collections/all-products/products/woman-no-182-new,"Amazing sculptural vase by Karina Smagulova. Karina Smagulova is a ceramic artist whose work explores the material’s ability to stretch and deform.The vase is part of her unique 'Women' collection, where each vase is numbered and unique in its women-like shapes.Karina has a background in architecture, her studies in ceramics started in 2016 and continue today as an exploration into functional and sculptural ceramic vessels. Working in stoneware and porcelain, mainly employing the coiling method, Karina balances asymmetrical curved forms in the three-dimensional world. Measurementsø5.5cm  H 11cm White grogged stonewareShare",//yonobi.com/cdn/shop/products/image_0fa6e986-267a-48fc-9061-8253ffdd5db8.jpg?v=1640191142,pottery and ceramic
Karina Smagulova Woman no. 187,2.64,https://yonobi.com//collections/all-products/products/woman-no-178-new,"Amazing sculptural vase by  Karina Smagulova. Karina Smagulova is a ceramic artist whose work explores the material’s ability to stretch and deform.The vase is part of her unique 'Women' collection, where each vase is numbered and unique in its women-like shapes.Karina has a background in architecture, her studies in ceramics started in 2016 and continue today as an exploration into functional and sculptural ceramic vessels. Working in stoneware and porcelain, mainly employing the coiling method, Karina balances asymmetrical curved forms in the three-dimensional world. Measurementsø5.5cm  H 14cm Sand grogged stonewareShare",//yonobi.com/cdn/shop/products/image_6c230e33-8b64-4886-9b57-056b6b99057a.jpg?v=1640181915,pottery and ceramic
Laura Pasquino Moon Jar - Wabi,11.9,https://yonobi.com//collections/all-products/products/moon-jar-wabi,"Beautiful Moon Jar handmade by Laura Pasquino.Laura's style is defined by a natural aesthetic. Minimalistic and harmonious shapes that celebrate the imperfections and beauty in understated. She expresses herself through the textures and organic nuances of clay, striving towards a balance between traditional techniques and simple elegance. The works are often left unglazed, to show the humble beauty of the material.When working, her aim is to give character to the piece, rather than trying to make it perfect. She leaves her fingerprints and tool marks as they happen during the creation process. It gives soul to the object and is a trace of Laura's process from that particular moment.The pieces we are so lucky to present at YONOBI are a range of ceramic sculptures that capture the powerful stillness and quiet aesthetic of the moon. These minimalistic shapes, made from stoneware ceramic, celebrate the imperfections, simplicity, and beauty in understated. Being captivated by pure forms that resemble infinity has led the artist to create a series of unique moon jars and circular sculptures. The works reflect influences from traditional Korean ceramics and Japanese principles of wabi-sabi.Dimensions: Ø 32 x H 33 cm, opening Ø 8 cmMaterial: stoneware ceramicFinishing: natural unglazed exterior, transparent matte glazed interiorColour: black Signature: artist stamp on the baseShare",//yonobi.com/cdn/shop/products/image_e4188331-d8df-4036-a176-fd367c1f6a6d.jpg?v=1634842144,pottery and ceramic
